timestamp,config,threads,run_type,thermal_status_start,battery_pct_start,thermal_status_end,end_to_end_latency_s,init_total_ms,time_to_first_token_s,prefill_tokens,prefill_speed_tok_s,decode_tokens,decode_speed_tok_s,peak_rss_kb,cpu_pct,validity,exclusion_reason
2026-08-14T18:51:49,baseline,auto,warmup,0,80,0,19.772,4754.57,3.61,447,125.94,163,16.37,2254124,253.2,valid,
2026-08-14T18:52:15,baseline,auto,warmup,0,80,0,19.49,4563.94,2.9,447,157.58,163,14.8,2268064,297.5,valid,
2026-08-14T18:52:41,baseline,auto,warmup,0,79,0,20.547,4536.09,2.96,447,154.82,163,14.51,2256624,297.2,valid,
2026-08-14T18:53:08,baseline,auto,warmup,1,79,1,21.28,4564.64,2.94,447,155.65,163,14.44,2267768,282.5,valid,
2026-08-14T18:53:36,baseline,auto,warmup,1,78,1,20.933,4782.88,2.94,447,155.59,163,14.17,2264884,298.2,valid,
2026-08-14T18:54:40,baseline,auto,valid,1,78,1,19.771,4648.28,2.7,447,169.35,163,15.49,2265068,280.1,valid,
2026-08-14T18:55:07,baseline,auto,valid,1,78,1,20.98,4498.24,2.95,447,155.15,163,14.31,2260300,283.3,valid,
2026-08-14T18:55:34,baseline,auto,valid,1,77,1,20.977,4993.2,3.01,447,151.98,163,13.82,2264756,297.3,valid,
2026-08-14T18:56:03,baseline,auto,valid,1,77,1,24.048,6076.85,3.2,447,143.18,163,13.04,2261424,281.3,valid,
2026-08-14T18:56:36,baseline,auto,valid,1,77,1,26.398,7332.19,3.78,447,120.84,163,11.76,2269620,287.0,valid,
2026-08-14T18:57:11,baseline,auto,valid,1,76,1,29.26,8305.99,4.21,447,108.65,163,10.85,2266304,283.4,valid,
2026-08-14T18:57:47,baseline,auto,valid,1,76,1,29.75,8313.21,4.44,447,102.82,163,10.71,2265664,284.9,valid,
2026-08-14T18:58:21,baseline,auto,valid,1,76,1,28.922,8181.77,4.32,447,105.79,163,11.01,2273364,285.9,valid,
2026-08-14T18:58:57,baseline,auto,valid,1,76,1,29.438,8206.65,4.25,447,107.37,163,11.31,2263636,281.1,valid,
2026-08-14T18:59:31,baseline,auto,valid,1,75,1,27.824,8210.49,4.2,447,108.79,163,11.39,2267292,283.4,valid,
2026-08-14T19:00:05,baseline,auto,valid,1,75,1,28.108,8327.3,4.23,447,107.87,163,11.84,2269360,279.6,valid,
2026-08-14T19:00:40,baseline,auto,valid,1,75,1,28.839,7850.48,4.11,447,111.38,163,10.75,2269372,287.7,valid,
2026-08-14T19:01:17,baseline,auto,valid,1,75,1,30.964,8771.46,4.67,447,97.66,163,10.53,2271896,274.7,valid,
2026-08-14T19:01:53,baseline,auto,valid,1,74,1,30.351,8260.96,4.42,447,103.3,163,10.5,2268552,281.9,valid,
2026-08-14T19:02:29,baseline,auto,valid,1,74,1,30.168,8107.17,4.61,447,98.91,163,10.69,2268168,285.2,valid,
2026-08-14T19:03:06,baseline,auto,valid,1,74,1,30.332,8009.11,4.66,447,97.98,163,10.3,2267304,288.2,valid,
2026-08-14T19:03:43,baseline,auto,valid,1,73,1,31.083,8779.11,4.64,447,98.46,163,10.22,2267116,285.5,valid,
2026-08-14T19:04:19,baseline,auto,valid,1,73,1,30.034,8954.73,4.46,447,102.27,163,10.98,2267776,274.9,valid,
2026-08-14T19:04:55,baseline,auto,valid,1,73,1,29.928,8965.4,4.42,447,103.37,163,10.98,2267988,275.4,valid,
2026-08-14T19:05:29,baseline,auto,valid,1,73,1,27.469,8241.72,4.31,447,105.75,163,11.82,2268020,277.7,valid,
2026-08-14T19:06:05,baseline,auto,valid,1,72,1,30.1,8386.77,4.34,447,105.23,163,10.5,2270748,282.5,valid,
2026-08-14T19:06:41,baseline,auto,valid,1,72,1,30.35,8280.13,4.4,447,103.87,163,10.42,2269680,276.1,valid,
2026-08-14T19:07:18,baseline,auto,valid,1,72,1,30.907,8124.72,4.6,447,99.21,163,10.31,2268364,280.9,valid,
2026-08-14T19:07:54,baseline,auto,valid,1,71,1,29.928,7983.44,4.59,447,99.52,163,10.59,2269812,287.0,valid,
2026-08-14T19:08:32,baseline,auto,valid,1,71,1,32.88,9541.26,4.85,447,94.18,163,9.94,2268928,280.8,valid,
2026-08-14T19:09:08,baseline,auto,valid,1,71,1,29.685,8235.23,4.42,447,103.39,163,10.61,2267504,287.4,valid,
2026-08-14T19:09:45,baseline,auto,valid,1,71,1,31.197,8981.8,4.4,447,103.89,163,10.61,2262948,275.0,valid,
2026-08-14T19:11:43,baseline,auto,valid,1,70,1,20.095,4698.06,2.82,447,162.63,163,14.68,2270044,295.8,valid,
2026-08-14T19:12:10,baseline,auto,valid,1,70,2,21.551,5259.77,2.96,447,154.95,163,13.32,2261548,292.3,valid,
2026-08-14T19:14:08,baseline,auto,valid,1,69,1,19.998,4435.91,2.75,447,166.87,163,14.98,2262292,293.6,valid,
