timestamp,config,threads,run_type,thermal_status_start,battery_pct_start,thermal_status_end,end_to_end_latency_s,init_total_ms,time_to_first_token_s,prefill_tokens,prefill_speed_tok_s,decode_tokens,decode_speed_tok_s,peak_rss_kb,cpu_pct,validity,exclusion_reason
2026-08-14T21:30:17,threads_4,4,warmup,1,86,1,19.19,4736.74,2.74,447,167.26,163,15.09,2275416,290.6,valid,
2026-08-14T21:30:44,threads_4,4,warmup,1,86,1,20.986,5176.19,2.9,447,157.94,163,14.42,2279296,278.8,valid,
2026-08-14T21:31:12,threads_4,4,warmup,1,85,1,22.431,5620.76,3.03,447,151.07,163,13.61,2281704,277.8,valid,
2026-08-14T21:31:42,threads_4,4,warmup,1,85,1,24.334,6787.56,3.57,447,128.15,163,12.88,2286660,287.1,valid,
2026-08-14T21:32:15,threads_4,4,warmup,1,85,1,26.672,7667.18,3.89,447,117.45,163,11.75,2286624,284.5,valid,
2026-08-14T21:36:12,threads_4,4,valid,0,83,0,18.337,4445.86,2.72,447,167.96,163,15.76,2279020,294.4,valid,
2026-08-14T21:36:38,threads_4,4,valid,0,83,1,19.72,4481.79,2.87,447,159.77,163,14.65,2280852,293.1,valid,
2026-08-14T21:37:04,threads_4,4,valid,1,83,1,19.62,4639.15,2.93,447,156.45,163,14.6,2281700,293.8,valid,
2026-08-14T21:37:30,threads_4,4,valid,1,82,1,20.739,5335.32,2.94,447,155.87,163,14.26,2280876,292.0,valid,
2026-08-14T21:37:58,threads_4,4,valid,1,82,1,22.044,5986.91,3.15,447,145.36,163,13.61,2281544,287.3,valid,
2026-08-14T21:38:29,threads_4,4,valid,1,82,1,25.136,7106.59,3.57,447,127.85,163,12.77,2287804,283.8,valid,
2026-08-14T21:39:01,threads_4,4,valid,1,81,1,26.146,7201.02,3.88,447,117.67,163,11.91,2287564,288.2,valid,
2026-08-14T21:39:33,threads_4,4,valid,1,81,1,25.038,7453.19,3.84,447,118.77,163,12.69,2282000,280.8,valid,
2026-08-14T21:40:05,threads_4,4,valid,1,81,1,26.457,7252.31,3.85,447,118.64,163,12.24,2286800,282.0,valid,
2026-08-14T21:40:37,threads_4,4,valid,1,81,1,26.4,7403.45,3.86,447,118.16,163,12.27,2292396,283.9,valid,
2026-08-14T21:41:10,threads_4,4,valid,1,81,1,26.783,7633.77,3.92,447,116.57,163,12.12,2287000,283.9,valid,
2026-08-14T21:41:41,threads_4,4,valid,1,80,1,25.115,7185.33,3.85,447,118.66,163,12.33,2282900,285.3,valid,
2026-08-14T21:42:12,threads_4,4,valid,1,80,1,24.631,7045.01,3.62,447,126.43,163,12.54,2282196,286.2,valid,
2026-08-14T21:42:43,threads_4,4,valid,1,80,1,24.919,6764.37,3.71,447,123.22,163,12.68,2286312,288.6,valid,
2026-08-14T21:43:13,threads_4,4,valid,1,80,1,23.899,6636.52,3.52,447,130.0,163,12.88,2286732,288.0,valid,
2026-08-14T21:43:44,threads_4,4,valid,1,79,1,25.353,6940.84,3.62,447,126.22,163,12.57,2289468,285.7,valid,
2026-08-14T21:44:15,threads_4,4,valid,1,79,1,25.059,6738.87,3.74,447,122.27,163,12.6,2285972,288.4,valid,
2026-08-14T21:44:45,threads_4,4,valid,1,79,1,23.301,6561.96,3.52,447,129.45,163,14.28,2286080,281.1,valid,
2026-08-14T21:45:15,threads_4,4,valid,1,78,1,24.244,6172.67,3.28,447,139.26,163,13.44,2286932,275.6,valid,
2026-08-14T21:45:46,threads_4,4,valid,1,78,1,24.83,6721.32,3.71,447,122.99,163,12.57,2282676,287.4,valid,
2026-08-14T21:46:18,threads_4,4,valid,1,78,1,25.489,7208.65,3.61,447,126.65,163,12.98,2282340,272.5,valid,
2026-08-14T21:46:48,threads_4,4,valid,1,77,1,24.652,6785.69,3.64,447,125.64,163,12.8,2290732,285.8,valid,
2026-08-14T21:47:20,threads_4,4,valid,1,77,1,24.752,7264.97,3.67,447,124.34,163,12.75,2282496,277.2,valid,
2026-08-14T21:47:50,threads_4,4,valid,1,76,1,24.731,6900.71,3.63,447,126.08,163,12.5,2285516,287.6,valid,
2026-08-14T21:48:22,threads_4,4,valid,1,76,1,25.877,7310.87,3.78,447,120.95,163,12.32,2285780,285.7,valid,
2026-08-14T21:48:53,threads_4,4,valid,1,76,1,24.632,6955.66,3.94,447,115.63,163,13.36,2277472,272.5,valid,
2026-08-14T21:49:25,threads_4,4,valid,1,76,1,25.891,6812.52,3.71,447,123.03,163,12.36,2285556,279.4,valid,
2026-08-14T21:49:55,threads_4,4,valid,1,75,1,24.554,7020.27,3.68,447,124.23,163,12.57,2281036,284.9,valid,
2026-08-14T21:50:27,threads_4,4,valid,1,75,1,25.986,6799.46,3.77,447,121.11,163,12.4,2287336,286.0,valid,
2026-08-14T21:50:58,threads_4,4,valid,1,75,1,24.918,7275.81,3.66,447,124.79,163,12.54,2278668,274.0,valid,
