timestamp,config,threads,run_type,thermal_status_start,battery_pct_start,thermal_status_end,end_to_end_latency_s,init_total_ms,time_to_first_token_s,prefill_tokens,prefill_speed_tok_s,decode_tokens,decode_speed_tok_s,peak_rss_kb,cpu_pct,validity,exclusion_reason
2026-08-14T22:41:57,threads_4_nocache,4,warmup,0,58,0,34.008,9475.26,5.7,447,79.93,163,9.71,3505852,210.9,valid,
2026-08-14T22:42:35,threads_4_nocache,4,warmup,0,57,0,31.982,9357.57,4.79,447,95.12,163,10.48,4129568,225.4,valid,
2026-08-14T22:43:13,threads_4_nocache,4,warmup,0,56,0,31.357,9346.52,4.09,447,112.05,163,10.32,4211940,221.9,valid,
2026-08-14T22:43:49,threads_4_nocache,4,warmup,0,56,0,30.343,9223.01,4.25,447,107.45,163,10.86,4228772,225.8,valid,
2026-08-14T22:44:26,threads_4_nocache,4,warmup,1,55,1,30.718,9661.38,3.91,447,117.02,163,10.75,4181024,226.9,valid,
2026-08-14T23:07:09,threads_4_nocache,4,valid,1,70,1,33.349,9798.54,5.07,447,89.83,163,10.66,4099092,203.5,valid,
2026-08-14T23:07:48,threads_4_nocache,4,valid,1,70,1,32.613,9710.56,3.87,447,118.38,163,10.43,4129340,216.5,valid,
2026-08-14T23:08:30,threads_4_nocache,4,valid,1,69,1,35.868,11009.64,4.39,447,104.42,163,9.23,4127040,216.8,valid,
2026-08-14T23:09:17,threads_4_nocache,4,valid,1,69,1,40.591,13427.07,4.98,447,91.92,163,8.52,4132216,210.0,valid,
2026-08-14T23:10:05,threads_4_nocache,4,valid,1,68,1,41.481,14714.66,6.18,447,73.68,163,8.62,4224704,208.4,valid,
2026-08-14T23:10:53,threads_4_nocache,4,valid,1,68,1,41.886,14983.22,5.64,447,80.99,163,8.63,4227224,211.3,valid,
2026-08-14T23:11:40,threads_4_nocache,4,valid,1,68,1,40.842,15253.99,5.23,447,87.39,163,8.72,4152160,210.3,valid,
2026-08-14T23:12:26,threads_4_nocache,4,valid,1,67,1,40.112,14043.08,5.13,447,89.12,163,8.81,4148788,213.8,valid,
2026-08-14T23:13:13,threads_4_nocache,4,valid,1,67,1,40.475,14161.81,5.12,447,89.28,163,8.47,4099648,210.7,valid,
2026-08-14T23:14:01,threads_4_nocache,4,valid,1,67,1,42.009,15093.57,5.22,447,87.58,163,8.5,4104780,209.9,valid,
2026-08-14T23:14:46,threads_4_nocache,4,valid,1,66,1,39.196,13800.38,4.99,447,91.72,163,8.97,4106320,213.9,valid,
2026-08-14T23:15:31,threads_4_nocache,4,valid,1,66,1,39.263,14314.44,5.21,447,87.6,163,9.19,4100392,214.0,valid,
2026-08-14T23:16:16,threads_4_nocache,4,valid,1,66,1,38.219,13845.85,5.15,447,88.71,163,9.29,4103540,214.8,valid,
2026-08-14T23:17:01,threads_4_nocache,4,valid,1,65,1,38.564,13749.94,4.95,447,92.47,163,8.86,4101920,219.5,valid,
2026-08-14T23:17:47,threads_4_nocache,4,valid,1,65,1,40.251,14769.63,5.07,447,90.12,163,9.11,4105912,210.0,valid,
2026-08-14T23:18:32,threads_4_nocache,4,valid,1,65,1,38.161,14611.8,4.91,447,93.03,163,9.27,4100904,213.3,valid,
2026-08-14T23:19:16,threads_4_nocache,4,valid,1,64,1,37.906,12959.06,4.91,447,93.07,163,9.17,4099068,219.9,valid,
2026-08-14T23:20:00,threads_4_nocache,4,valid,1,64,1,36.846,12937.71,5.03,447,90.8,163,9.19,4098612,218.4,valid,
2026-08-14T23:20:45,threads_4_nocache,4,valid,1,64,1,38.789,13696.73,5.0,447,91.47,163,8.81,4093024,219.4,valid,
2026-08-14T23:21:30,threads_4_nocache,4,valid,1,63,1,37.673,13526.03,4.74,447,96.6,163,9.13,4084276,214.6,valid,
2026-08-14T23:22:16,threads_4_nocache,4,valid,1,63,1,37.564,12997.92,4.95,447,92.21,163,9.37,4084924,219.1,valid,
2026-08-14T23:23:00,threads_4_nocache,4,valid,1,62,1,37.329,13725.46,4.68,447,97.75,163,9.56,4085048,216.1,valid,
2026-08-14T23:23:42,threads_4_nocache,4,valid,1,62,1,35.83,13264.5,4.53,447,100.95,163,9.54,4084208,215.2,valid,
2026-08-14T23:24:24,threads_4_nocache,4,valid,1,62,1,35.836,13155.29,4.79,447,95.41,163,9.97,4084552,216.0,valid,
2026-08-14T23:25:06,threads_4_nocache,4,valid,1,61,1,36.183,13286.1,4.73,447,96.54,163,9.79,4084864,219.5,valid,
2026-08-14T23:25:50,threads_4_nocache,4,valid,1,61,1,37.364,13634.1,4.99,447,91.61,163,9.45,4085016,218.4,valid,
2026-08-14T23:26:33,threads_4_nocache,4,valid,1,61,1,37.269,13674.57,4.98,447,91.63,163,9.6,4084920,219.6,valid,
2026-08-14T23:27:17,threads_4_nocache,4,valid,1,60,1,38.193,13727.59,5.01,447,91.31,163,8.9,4084924,219.5,valid,
2026-08-14T23:28:04,threads_4_nocache,4,valid,1,60,1,37.782,12726.92,4.74,447,96.64,163,8.84,4084104,216.8,valid,
2026-08-14T23:28:50,threads_4_nocache,4,valid,1,60,1,40.285,14433.96,5.69,447,80.1,163,9.1,4213860,206.0,valid,
